20:25:41. INFO  manager.ApplicationManager - All tests starts in Chrome browser
20:25:42. INFO  manager.ApplicationManager - Link ------->https://contacts-app.tobbymarshall815.vercel.app/login
20:25:42. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
20:26:02. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
20:26:02. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[text()='LOGIN']
20:26:02. INFO  manager.MyListener - The element with locator --->By.xpath: //a[text()='LOGIN']was found
20:26:02. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[1]
20:26:02. INFO  manager.MyListener - The element with locator --->By.xpath: //input[1]was found
20:26:02. INFO  manager.MyListener - Start search element by locator --->By.xpath: //input[2]
20:26:02. INFO  manager.MyListener - The element with locator --->By.xpath: //input[2]was found
20:26:03. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[2]
20:26:03. INFO  manager.MyListener - The element with locator --->By.xpath: //button[2]was found
20:26:03. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[text()='Sign Out']
20:26:03. INFO  manager.MyListener - The element with locator --->By.xpath: //button[text()='Sign Out']was found
